0001-253X	Aslib
0001-4338	IzAOP
0001-4370	Ocgy
0001-4966	ASAJ
0001-5237	AcA
0001-5245	AcASn
0001-5342	AcBio
0001-5725	AcGeo
0001-5962	AcM
0001-6357	AcOdS
0001-6470	AcOrS
0001-7701	GReGr
0001-8708	AdMat
0001-8732	AdPhy
0002-2667	AE&AT
0002-9505	AmJPh
0002-9939	PAMS
0002-9947	TAMS
0003-0007	AMSBu
0003-0503	BAPS
0003-2654	Ana
0003-2670	AcHA
0003-2697	AnBio
0003-2700	AnChe
0003-3804	AnP
0003-4169	AnPh
0003-4916	AnPhy
0003-6935	ApOpt
0003-6951	ApPhL
0003-7028	ApSpe
0003-813X	Archa
0003-9527	ArRMA
0004-2080	ArM
0004-6248	BAICz
0004-6256	AJ
0004-6264	PASJ
0004-6272	ASPL
0004-6280	PASP
0004-6302	LAstr
0004-6337	AN
0004-6361	A&A
0004-637X	ApJ
0004-640X	Ap&SS
0004-9506	AuJPh
0004-9573	AJSR
0006-291X	BBRC
0006-3444	Biome
0006-355X	Biorh
0006-8314	BoLMe
0006-8950	Brain
0007-0297	JBAA
0007-084X	JBIS
0007-0882	BJPS
0007-1013	BJET
0007-1102	BJMSP
0007-1269	BJP
0007-4632	BGeo
0008-3674	CaGeJ
0008-4042	CJCh
0008-414X	CJMat
0008-4204	CaJPh
0008-4271	CaJSS
0008-6568	CarR
0008-8714	CeMec
0009-2614	CPL
0009-2819	ChEG
0010-2679	CoASP
0010-3616	CMaPh
0010-4655	CoPhC
0010-4809	CBR
0010-7514	ConPh
0010-7999	MinPe
0010-9525	CosRe
0011-4626	CzJPh
0012-5016	DokPC
0012-821X	E&PSL
0012-8252	ESRv
0013-0915	PEMS
0013-4651	EcSJ
0013-4651	JElS
0013-4686	AcElc
0014-0139	Ergo
0014-2956	EJBio
0014-4835	EEyeR
0015-0193	Fer
0015-8208	ForPh
0015-9018	FoPh
0016-2663	FAAp
0016-6707	Gen
0016-7037	GeCoA
0016-7932	Ge&Ae
0016-8803	Geop
0017-0895	GlMaJ
0018-019X	AcHCh
0018-1439	HECh
0018-3830	Holz
0018-9197	IJQE
0018-9251	ITAES
0018-926X	ITAP
0018-9359	ITEdu
0018-9383	ITED
0018-9499	ITNS
0019-1035	Icar
0020-0891	InfPh
0020-3157	AnISM
0020-7128	IJBm
0020-7403	IJMeS
0020-7462	IJNLM
0020-7543	IJPR
0020-7721	IJSSc
0020-7748	IJTP
0021-1052	IrAJ
0021-3462	Ra&QE
0021-3640	JETPL
0021-4280	PJA
0021-4922	JaJAP
0021-7689	JCP
0021-8286	JHA
0021-8286	JHAS
