A&A	Astronomy and Astrophysics
A&AA	Astronomy and Astrophysics Abstracts Heidelberg
A&AC	Astronomy and Astrophysics (Caucasus)
A&ARv	Astronomy and Astrophysics Review
A&AS	Astronomy and Astrophysics Supplement Series
A&AT	Astronomical and Astrophysical Transactions
A&C	Astronomy and Computing
A&G	Astronomy and Geophysics
A&R	Astronomie und Raumfahrt
AAABS	Asociacion Argentina de Astronomia La Plata Argentina Book Series
AAAN	Astronomische Abhandlungen als Erganzungshefte zu den Astronomische Nachrichten
AAAR	Arctic, Antarctic and Alpine Research
AADDR	Abhandlungen Akad. Wiss. DDR
AAfz	Astrometriia i Astrofizika
AAGot	Abhandlungen Akad. Wiss. G&ouml;ttingen
AAHam	Astronomische Abhandlungen der Hamburger Sternwarte
AAIzN	Alma Ata Izdatel Nauka
AALST	Atti Accad. Ligure Sci. Lett.
AAM	Archive of Applied Mechanics
AAMOP	Advances in Atomic Molecular and Optical Physics
AAMS	Adv. Appl. Mech. Suppl.
AAN	AAVSO Alert Notice
AAnST	Advances in Astronautics Science and Technology
AAONw	Anglo-Australian Observatory Epping Newsletter
AAOPr	Anglo-Australian Observatory Epping Preprint
AAPon	Atti Accad. Pontaniana
AAS	American Astronomical Society Meeting Abstracts
AASF	Ann. Acad. Sci. Fennicae
AASHS	AAS Hist. Ser.
AASP	Advances in Astronomy and Space Physics
AASPB	AAS Photo Bulletin
AASPP	Astrononomy and Astrophysics Series
AAST	Atti Accad. Sco. Torino I
AAVNw	AAVSO Newsletter
AAVSB	AAVSO Solar Bulletin
AAVSC	AAVSO Circular
AAVSN	AAVSO Special Notice
AbaOB	Abastumanskaia Astrofizicheskaia Observatoriia Byulleten
AbApA	Abstract and Applied Analysis
AbAst	Abenteuer Astronomie
AbbOO	Abbadia Observatory Observations
AbhBr	Abh. naturwiss. Verein Bremen
AbhKP	Abh. Konigl. Preuss. Akad. Wissenschaften Jahre 1906,92, Berlin,1907
AbhP	Abh. der Preuss. Akademie der Wissenschaften Jahrg
AbICA	Abstracts of the ICA
ABKie	Astronomische Beobachtungen auf der Sternwarte der Koeniglichen Christian-Albrechts-Universitaet zu Kiel
ABMun	Astronomische Beobachtungen angestellt auf der K. Sternwarte zu Bogenhausen bei Muenchen
ABSBe	Astronomische Beobachtungen auf der Koniglichen Sternwarte zu Berlin
ABWG	Abh. Braunschweigische Wissenschaftliche Ges.
AcA	Acta Astronomica
AcAAS	Acta Aeronautica et Astronautica Sinica
AcAau	Acta Astronautica
AcAcu	Acta Acustica
AcAer	Acta Aerodynamica Sinica
AcApS	Acta Astrophysica Sinica
AcAri	Acta Arithmetica
AcArm	Acta Armamentarii
AcASn	Acta Astronomica Sinica
AcAT	Acta Astrophysica Taurica
AcAuS	Acta Automatica Sinica
AcBu	Acoust. Bull.
AcC	Acta Cosmologica
AcChR	Accounts Chem. Res.
AcCrA	Acta Crystallographica Section A
AcCrD	Acta Crystallographica Section D
AcEle	Acta Electronica
AcElS	Acta Electronica Sinica
ACESJ	Applied Computational Electromagnetics Society Journal
AcESn	Acta Electron. Sinica
AcGdG	Acta Geodynamica et Geomaterialia
ACGE	Advances in Cryogenic Engineering
AcGeo	Acta Geophysica
AcGeP	Acta Geophysica Polonica
AcGG	Acta Geodaetica et Geophysica
ACGIS	Advances in Cartography and GIScience of the ICA
AcGSn	Acta Geophys. Sinica
AcHA	Acta Historica Astronomiae
AcHPh	Helvetica Physica Acta
AcHPS	Helvetica Physica Acta Supplementum
ACiCh	Astronomical Circular
ACIP	Acta Cienc. Indica Phys.
AcM&M	Acta Metallurgica et Materialia
AcMa	Acta Mathematica
ACMan	Astronomical Contributions from the University of Manchester
AcMaS	Acta Mathematica Sinica
AcMat	Acta Materialia
AcMCS	Acta Materiae Compositae Sinica
AcMec	Acta Mechanica
AcMeS	Acta Meteorologica Sinica
AcMet	Acta Metallurgica
AcMik	Mikrochimica Acta
AcMPh	Acta Universitatis Caroliae. Mathematica et Physica
AcMPS	Acta Universitatis Caroliae. Mathematica et Physica Supplement
AcMSn	Acta Mechanica Sinica
AcMSS	Acta Mechanica Solida Sinica
AcMSw	Acta Mathematica Sweden
AcMT	Acta Materialia Transylvanica
AcNum	Acta Numerica
AcO	Acta Oecologica
AcOpS	Acta Optica Sinica
AcOpt	Optica Acta
AcOSi	Acta Oceanica Sinica
AcouL	Acoustics Letters
ACP	Atmospheric Chemistry & Physics
AcPAS	Acta Physica Austriaca Supplement
ACPD	Atmospheric Chemistry & Physics Discussions
AcPhA	Acta Physica Austriaca
AcPhC	Acta Physica et Chemica
AcPhH	Acta Physica Hungarica
AcPhS	Acta Physiologica Scandinavica
AcPhy	Acta Physica
AcPol	Acta Polytechnica
AcPP	Acta Physica Polonica
AcPPA	Acta Physica Polonica A
AcPPB	Acta Physica Polonica B
AcPPP	Acta Polytechnica CTU Proceedings
AcPPS	Acta Physica Polonica B, Proceedings Supplement
AcPSc	Acta Polytechnica Scandinavica Applied Physics Series
AcPSi	Acta Photonica Sinica
AcPSl	Acta Physica Slovaca
AcPSn	Acta Physica Sinica
AcRhe	Rheologica Acta
ACSB	American Ceramic Society Bulletin
ACSC	American Ceramic Society Communications
ACSJ	American Ceramic Society Journal
AcSN	Acta Scientifica Naturalis
AcSpA	Spectrochimica Acta Part A: Molecular Spectroscopy
AcSpe	Spectrochimica Acta
AcSSn	Acta Seismologica Sinica
ACTAp	Automatic Control Theory Applications
AcTC	Theoretica Chimica Acta
AcTec	Acta Technica
Acu	Acustica
AcUnC	Acta Universitatis Cibiniensis
AcUni	Acta Universitaria
AD	Atomic Data
AdA&A	Advances in Astronomy and Astrophysics
AdAer	Advances in Aeronautics
AdAMP	Advances in Atomic and Molecular Physics
AdAnS	Advances in the Astronautical Sciences
AdAp	Advances in Astrophysics
adap.prop	NASA ADAP Proposal
AdApM	Advances in Applied Mathematics
AdAs	Ad Astra
adass	Astronomical Data Analysis Software and Systems
AdAst	Advances in Astronomy
AdAtS	Advances in Atmospheric Sciences
ADCBu	Astronomical Data Center Bulletin
AdChP	Advances in Chemical Physics
AdCIS	Advances in Colloid and Interface Science
AdCM	Advanced Ceramic Materials
AdCMP	Advances in Condensed Matter Physics
AdCoL	Advanced Composites Letters
AdDI	Advanced Devices and Instrumentation
AdEl	Advanced Electromagnetics
AdEPS	Advances in Earth and Planetary Sciences
AdG	Advances in Geosciences
AdGeo	Advances in Geophysics
AdHEP	Advances in High Energy Physics
ADIL	Astronomy Data Image Library
AdMaP	Advances in Mathematical Physics
AdMet	Advances in Meteorology
AdMPC	Advances in Materials Physics and Chemistry
AdMRe	Advances in Magnetic Resonance
AdMS	Advances in Materials Science
AdMSE	Advances in Materials Science and Engineering
AdMUM	Advances in Mechanics Uspekhi Mekhaniki
ADNDT	Atomic Data and Nuclear Data Tables
AdNOp	Advances in Nonlinear Optics
AdNuP	Advances in Nuclear Physics
AdOP	Advances in Optics and Photonics
AdOT	Advanced Optical Technologies
AdPho	Advanced Photonics
AdPhX	Advances in Physics X
AdPhy	Advances in Physics
AdPlP	Advances in Plasma Physics
AdPlS	Advances in Planetary Science
AdQC	Advances in Quantum Chemistry
AdRS	Advances in Radio Science
AdSAC	Advanced Series in Astrophysics and Cosmology
AdSpR	Advances in Space Research
AdSR	Advances in Science and Research
AdSSP	Advances in Solid State Physics
